iter,trialnum,rand,scenario
1,20,0.49306122448979595,2
2,20,0.5102040816326531,2
3,20,0.4906122448979592,2
4,20,0.529795918367347,2
5,20,0.4906122448979592,2
6,20,0.5102040816326531,2
7,20,0.49306122448979595,2
8,20,0.4971428571428571,2
9,20,0.4906122448979592,2
10,20,0.5028571428571429,2
11,20,0.4897959183673469,2
12,20,0.49306122448979595,2
13,20,0.4906122448979592,2
14,20,0.49306122448979595,2
15,20,0.4906122448979592,2
16,20,0.49306122448979595,2
17,20,0.5028571428571429,2
18,20,0.49306122448979595,2
19,20,0.4971428571428571,2
20,20,0.4971428571428571,2
21,20,0.49306122448979595,2
22,20,0.5028571428571429,2
23,20,0.5102040816326531,2
24,20,0.4906122448979592,2
25,20,0.529795918367347,2
26,20,0.49306122448979595,2
27,20,0.4897959183673469,2
28,20,0.4906122448979592,2
29,20,0.4897959183673469,2
30,20,0.4971428571428571,2
31,20,0.4906122448979592,2
32,20,0.49306122448979595,2
33,20,0.49306122448979595,2
34,20,0.4906122448979592,2
35,20,0.4906122448979592,2
36,20,0.5102040816326531,2
37,20,0.5420408163265307,2
38,20,0.4971428571428571,2
39,20,0.49306122448979595,2
40,20,0.4971428571428571,2
41,20,0.4971428571428571,2
42,20,0.4906122448979592,2
43,20,0.4906122448979592,2
44,20,0.5102040816326531,2
45,20,0.4971428571428571,2
46,20,0.5102040816326531,2
47,20,0.4906122448979592,2
48,20,0.4906122448979592,2
49,20,0.49306122448979595,2
50,20,0.4897959183673469,2
51,20,0.529795918367347,2
52,20,0.5102040816326531,2
53,20,0.4971428571428571,2
54,20,0.49306122448979595,2
55,20,0.5102040816326531,2
56,20,0.4971428571428571,2
57,20,0.5102040816326531,2
58,20,0.5102040816326531,2
59,20,0.49306122448979595,2
60,20,0.4906122448979592,2
61,20,0.4906122448979592,2
62,20,0.4906122448979592,2
63,20,0.5028571428571429,2
64,20,0.5191836734693878,2
65,20,0.4971428571428571,2
66,20,0.4971428571428571,2
67,20,0.4971428571428571,2
68,20,0.4906122448979592,2
69,20,0.5559183673469388,2
70,20,0.4906122448979592,2
71,20,0.4897959183673469,2
72,20,0.5028571428571429,2
73,20,0.4971428571428571,2
74,20,0.5028571428571429,2
75,20,0.49306122448979595,2
76,20,0.4971428571428571,2
77,20,0.5028571428571429,2
78,20,0.4971428571428571,2
79,20,0.4897959183673469,2
80,20,0.4897959183673469,2
81,20,0.4971428571428571,2
82,20,0.4897959183673469,2
83,20,0.49306122448979595,2
84,20,0.4906122448979592,2
85,20,0.49306122448979595,2
86,20,0.5028571428571429,2
87,20,0.4906122448979592,2
88,20,0.49306122448979595,2
89,20,0.4897959183673469,2
90,20,0.4971428571428571,2
91,20,0.4897959183673469,2
92,20,0.49306122448979595,2
93,20,0.5028571428571429,2
94,20,0.4906122448979592,2
95,20,0.49306122448979595,2
96,20,0.5191836734693878,2
97,20,0.4971428571428571,2
98,20,0.5102040816326531,2
99,20,0.49306122448979595,2
100,20,0.529795918367347,2
